Year,Rank,Character Name,Unique Characters,Debut,First Year Ranked,Latest Year Ranked,Total Times Ranked,Highest Rank,Lowest Rank
1986,1,Zashikibuta,Zashikibuta,1984,1986,1987,2,1,7
1986,2,Snoopy,Snoopy,1950,1986,1997,12,2,10
1986,3,Hangyodon,Hangyodon,1985,1986,2024,6,3,8
1986,4,Tuxedosam,Tuxedosam,1979,1986,2024,11,4,10
1986,5,Nyaninyunyenyon,Nyaninyunyenyon,1984,1986,1986,1,5,5
1986,6,The Vaudeville Duo,The Vaudeville Duo,1983,1986,1994,7,3,10
1986,7,?,?,,1986,1987,2,6,7
1986,8,Hello Kitty,Hello Kitty,1974,1986,2024,39,1,9
1986,9,Teddy the Teddy,Teddy the Teddy,1977,1986,1986,1,9,9
1986,10,Cottontails,Cottontails,1985,1986,1986,1,10,10
1987,1,Marroncream,Marroncream,1985,1987,1998,11,1,8
1987,2,Snoopy,Minna no Tābō,1984,1987,2005,6,1,10
1987,3,Minna no Tābō,Pokopon's Diary,1986,1987,1992,6,3,10
1987,4,Pokopon's Diary,Brownie's Story,1986,1987,1990,4,5,10
1987,5,Brownie's Story,Felix the Cat,1919,1987,1988,2,4,10
1987,6,?,Noranekoland,1986,1988,1989,2,5,7
1987,7,Zashikibuta,Umeyazakkaten,1987,1988,1989,2,9,9
1987,8,Hangyodon,Kerokerokeroppi,1988,1989,2024,8,1,9
1987,9,Hello Kitty,Pochacco,1989,1990,2024,21,1,10
1987,10,Felix the Cat,Ahiru no Pekkle,1990,1991,1994,4,5,10
1988,1,Minna no Tābō,Rururugakuen,1989,1992,1995,4,2,6
1988,2,Snoopy,Little Cottonwood Cottage,1990,1992,1992,1,9,9
1988,3,Pokopon's Diary,PataPataPeppy,1992,1993,1998,6,2,10
1988,4,Felix the Cat,Osaru no Monkichi,1992,1993,1996,4,4,10
1988,5,Noranekoland,Mr. Bear's Dream,1983,1993,1996,4,5,10
1988,6,Hello Kitty,Bad Badtz-Maru,1993,1994,2023,16,1,10
1988,7,Marroncream,Honeyfield ,1992,1995,1996,2,9,10
1988,8,Hangyodon,Sugar cream puff,1990,1996,1996,1,8,8
1988,9,Umeyazakkaten,Pompompurin,1996,1997,2024,26,1,10
1988,10,Brownie's Story,My Melody,1975,1997,2024,28,1,6
1989,1,Minna no Tābō,Little Twin Stars,1975,1997,2024,28,2,10
1989,2,Kerokerokeroppi,Chococat,1996,1997,1997,1,9,9
1989,3,Snoopy,Patty & Jimmy,1974,1998,2009,9,5,10
1989,4,Marroncream,Dear Daniel,1999,1999,2009,9,3,9
1989,5,Pokopon's Diary,Corocorokuririn,1998,1999,2002,4,6,7
1989,6,Hello Kitty,Pink no Corisu,1998,1999,1999,1,9,9
1989,7,Noranekoland,Taraiguma no Landry,1999,2000,2000,1,8,8
1989,8,Brownie's Story,Sweetcoron,2001,2001,2001,1,9,9
1989,9,Umeyazakkaten,Chocopanda,2000,2001,2001,1,10,10
1989,10,The Vaudeville Duo,Muffin,1997,2002,2002,1,6,6
1990,1,Kerokerokeroppi,U*Sa*Ha*Na,2001,2002,2005,4,6,10
1990,2,Minna no Tābō,Cinnamoroll,2001,2003,2024,22,1,7
1990,3,Marroncream,Okigaru Friends,1997,2003,2003,1,10,10
1990,4,Snoopy,Chibimaru,2003,2004,2004,1,10,10
